"1_Auspraegung_Label","3_Auspraegung_Label","BEV027__Auslaender__Anzahl"
"Thüringen","Niederlande","605"
"Thüringen","Norwegen","35"
"Thüringen","Österreich","785"
"Thüringen","Polen","13210"
"Thüringen","Portugal","570"
"Thüringen","Rumänien","12055"
"Thüringen","Schweden","95"
"Thüringen","Schweiz","275"
"Thüringen","Serbien","1705"
"Thüringen","Slowakei","2600"
"Thüringen","Slowenien","120"
"Thüringen","Spanien","1035"
"Thüringen","Tschechien","1715"
"Thüringen","Ungarn","2995"
"Thüringen","Vereinigtes Königreich","425"
"Thüringen","Zypern","10"
